id,condition,written_response,age,sex,political_affiliation,conspllm_score,loco_discriminability,consent,moderators_1,moderators_2,moderators_3,moderators_4,moderators_5,moderators_6,moderators_7,moderators_8,moderators_9,moderators_10,moderators_11,moderators_12,moderators_13,moderators_14,moderators_15,moderators_16,moderators_17,moderators_18,moderators_19,moderators_20,moderators_21,moderators_22,moderators_23,moderators_24,moderators_25,moderators_26,moderators_27,moderators_28,moderators_29,moderators_30,manip_1,manip_2,manip_3,manip_4,manip_5,manip_6,gcbs_1,gcbs_2,gcbs_3,gcbs_4,gcbs_5,gcbs_6,gcbs_7,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
1,public_control,"This is an atrocity. They are poisoning the water, and hiding it, I promise you. This has happened a bunch of times, and it's the same. This needs to stop. Heads need to roll. You can't trust immediately what the authorities say here. At a minimum, we need to have a fully independent, impartial  investigation into this.",28,Male,Democrat,3,0.07089549,1,5,5,3,4,4,5,5,3,4,5,5,3,2,4,2,6,5,4,5,4,6,5,5,4,5,4,2,5,5,6,4,4,6,4,3,2,3,3,3,3,3,2,2,57,41.78,60.92,14.46,5.65,8.14,17.54,96.49,75.44,61.4,21.05,8.77,1.75,1.75,3.51,0,1.75,12.28,21.05,12.28,0,10.53,10.53,5.26,3.51,1.75,19.3,5.26,3.51,5.26,3.51,0,1.75,31.58,0,15.79,1.75,0,7.02,0,3.51,5.26,0,1.75,0,1.75,0,0,0,0,0,0,0,14.04,7.02,0,0,0,0,1.75,7.02,0,0,0,0,0,0,0,0,1.75,0,0,1.75,0,0,3.51,1.75,0,0,0,0,0,0,0,5.26,0,0,0,1.75,0,0,1.75,0,10.53,7.02,0,1.75,3.51,1.75,0,0,5.26,3.51,10.53,0,0,0,0,0,0,24.56,12.28,8.77,0,0,3.51,0,0
2,public_savvy,The city needs to take immediate action on problem solving the situation. Citizens needs to vocalize our concern for the water supply. Making deals with companies that don't have a solid action plan is going to harm the residents. I am concerned that the city doesn't know what to do and this is concerning.,33,Female,Democrat,2,0.008369461,1,4,5,2,4,3,3,4,3,5,3,4,2,5,5,2,2,1,4,6,1,4,5,3,2,5,3,6,5,1,5,6,6,6,6,1,5,4,4,4,4,4,4,4,54,83.52,40.06,17.46,5.19,13.5,20.37,96.3,64.81,48.15,11.11,3.7,1.85,1.85,0,0,0,7.41,18.52,11.11,0,12.96,11.11,0,1.85,3.7,24.07,5.56,0,5.56,1.85,3.7,0,25.93,0,16.67,5.56,1.85,3.7,0,0,0,0,3.7,0,1.85,1.85,0,0,0,0,0,0,11.11,3.7,3.7,0,0,0,0,3.7,0,0,0,0,1.85,1.85,0,0,7.41,0,1.85,5.56,0,0,0,0,0,0,0,0,0,0,0,3.7,0,1.85,3.7,0,0,0,1.85,0,5.56,7.41,0,3.7,3.7,0,0,0,1.85,0,14.81,5.56,0,0,0,0,0,11.11,7.41,0,0,0,3.7,0,0
3,private_control,My thoughts are that something is off.  Something is wrong.  This company is not to be trusted. That the people in that community are not drinking safe water.  This is something that is really bad.  This company could really be hurting people and they don't know. Something smell rotten when the executives are doing something sneaky,48,Female,Independent,3,0.01897192,1,3,3,3,3,4,3,3,3,4,4,3,3,3,3,3,4,3,4,4,4,4,3,4,4,4,4,4,4,3,3,3,3,4,3,3,3,2,2,2,2,2,3,3,56,1,21.49,8.95,1,8,23.21,96.43,80.36,67.86,25,3.57,1.79,0,0,0,1.79,21.43,17.86,3.57,0,5.36,23.21,5.36,3.57,5.36,26.79,10.71,0,5.36,3.57,0,1.79,41.07,0,21.43,3.57,0,1.79,8.93,3.57,3.57,0,12.5,3.57,8.93,3.57,0,3.57,0,0,0,0,16.07,5.36,0,0,0,3.57,0,7.14,0,0,0,0,0,0,0,0,5.36,0,0,5.36,0,0,3.57,0,0,0,0,0,0,1.79,0,0,0,0,0,0,0,0,1.79,0,7.14,3.57,0,0,1.79,0,0,1.79,1.79,1.79,16.07,0,0,0,0,0,0,12.5,10.71,0,0,0,1.79,0,0
4,private_control,"I don't like this situation. I don't trust Aegis, I don't trust the mayor. When there's money involved, people cover things up. I think I need to go out and buy bottled water. I'd rather be safe than sorry. The pressure drops don't worry me too much, but that metallic taste does. And why are they selling off stock?",37,Female,Independent,2,0.02350989,1,5,4,1,5,6,5,3,1,6,1,6,5,4,4,3,3,5,4,4,2,2,3,4,6,4,4,4,3,4,4,2,2,6,2,1,2,2,2,2,3,2,2,4,59,1.88,1,84.57,1.14,8.43,10.17,84.75,71.19,57.63,18.64,13.56,11.86,0,0,0,1.69,5.08,6.78,3.39,0,10.17,15.25,8.47,8.47,6.78,23.73,3.39,1.69,3.39,3.39,0,0,27.12,0,15.25,1.69,1.69,3.39,1.69,0,3.39,0,6.78,1.69,5.08,1.69,0,1.69,1.69,0,0,0,10.17,5.08,1.69,0,0,0,0,5.08,0,0,0,0,1.69,1.69,0,0,5.08,0,0,0,5.08,0,1.69,0,0,0,0,0,0,1.69,0,1.69,0,1.69,0,0,0,0,1.69,0,15.25,8.47,0,1.69,6.78,0,0,0,1.69,0,13.56,0,0,0,0,0,0,27.12,10.17,5.08,1.69,0,10.17,0,0
5,public_savvy,"Why is Aegis Dynamics all of a sudden selling stocks and disbanding the quality testing board? what do these have to do with each other and why should we care? I'll tell you why, this is 100% effecting our drinking water and they just expect us to turn a blind eye? We need to do something about this!!",31,Female,Independent,2,0.02299884,1,3,6,1,1,3,2,2,2,5,3,3,2,2,2,1,2,2,1,5,3,5,3,5,5,6,6,5,3,1,5,4,5,4,3,4,3,4,4,4,4,4,4,4,58,10.98,98.12,1,46.24,14.5,13.79,89.66,77.59,63.79,20.69,12.07,1.72,6.9,1.72,0,1.72,8.62,17.24,5.17,1.72,10.34,13.79,8.62,5.17,0,24.14,5.17,1.72,6.9,6.9,0,0,24.14,1.72,13.79,1.72,6.9,3.45,1.72,0,1.72,0,1.72,1.72,0,0,0,0,0,0,0,0,13.79,3.45,1.72,0,0,0,1.72,10.34,0,0,0,0,0,0,0,0,5.17,0,0,3.45,3.45,0,5.17,0,0,0,0,0,0,1.72,0,5.17,0,0,0,0,0,0,0,0,3.45,5.17,0,1.72,0,3.45,0,0,1.72,0,3.45,6.9,0,0,0,0,0,13.79,0,1.72,5.17,3.45,1.72,1.72,0
6,private_savvy,I am very concerned about the problem with our water. I have lived in Riverbend for many years and have never been worried about my drinking water until now. I have started only using bottled water for drinking and cooking. I'm wondering if I might want to contact a lawyer. It's starting to feel very much like Erin Brokovich around here.,56,Female,Republican,2,-0.011814043,1,1,4,2,1,4,2,4,1,4,1,4,6,4,6,4,4,6,6,4,1,3,3,2,2,5,5,4,5,1,5,3,2,6,1,2,4,3,3,3,3,3,3,3,61,19.57,4.17,98.05,6.23,12.2,21.31,86.89,78.69,62.3,13.11,11.48,9.84,1.64,0,0,0,1.64,9.84,3.28,0,18.03,13.11,14.75,6.56,1.64,24.59,8.2,4.92,3.28,1.64,0,1.64,31.15,1.64,14.75,3.28,1.64,1.64,4.92,0,1.64,0,3.28,0,1.64,3.28,0,1.64,1.64,0,0,0,1.64,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,1.64,0,0,1.64,0,0,6.56,0,0,0,0,0,0,4.92,0,0,1.64,0,0,0,0,0,0,1.64,13.11,8.2,0,0,6.56,0,0,1.64,9.84,4.92,8.2,1.64,0,0,0,0,0,11.48,8.2,0,0,0,3.28,0,0
7,public_control,Who got a kickback from this? Politicians and government workers are so easy to buy off and put their ethics aside to line their pockets. This is why I can't trust the government to take care of us because they are flawed individuals who couldn't cut it in the private sector. They need to be punished for their incompetence.,38,Male,Republican,2,0.07564753,1,1,1,1,1,2,2,2,2,2,2,5,2,2,3,3,4,2,2,5,2,6,4,2,1,5,5,6,6,1,6,4,5,5,6,5,1,3,4,3,3,4,4,3,59,29.33,93.75,1,20.23,14.75,20.34,91.53,72.88,59.32,20.34,15.25,1.69,1.69,0,0,8.47,5.08,13.56,5.08,0,15.25,10.17,3.39,6.78,3.39,20.34,3.39,0,13.56,3.39,1.69,8.47,15.25,0,8.47,0,3.39,5.08,0,0,1.69,0,6.78,3.39,3.39,0,0,0,0,0,0,0,23.73,6.78,1.69,0,0,1.69,0,16.95,0,0,0,0,5.08,5.08,0,0,5.08,0,0,3.39,1.69,0,0,0,0,0,0,0,0,0,0,1.69,0,5.08,0,0,0,0,0,0,6.78,6.78,0,1.69,5.08,0,0,0,0,1.69,6.78,0,0,0,0,0,0,10.17,5.08,0,1.69,0,3.39,0,0
8,private_control,uttt ohh somethings wrong and its going to be discovered sooner rather than later.  The company isnt what people thought it was and is going to crash. the water board also is somehow involved or knows the seriousness of the situation. it might be time to hire an auditor firm to start looking into things and retaining a lawyer.,56,Male,Republican,2,0.009438604,1,4,3,3,3,4,5,4,3,4,3,4,3,3,3,4,3,3,3,3,4,4,4,4,3,3,4,4,5,2,3,3,2,5,1,3,4,1,1,2,2,2,1,3,59,53.96,22.3,53.8,5.94,14.75,18.64,88.14,71.19,54.24,10.17,0,0,0,0,0,0,10.17,11.86,10.17,0,11.86,11.86,3.39,10.17,1.69,23.73,6.78,0,1.69,0,0,1.69,28.81,0,18.64,5.08,0,0,6.78,0,5.08,0,1.69,0,1.69,0,0,0,0,0,0,0,6.78,1.69,0,0,0,1.69,0,3.39,0,0,0,0,0,0,0,0,6.78,0,0,5.08,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,5.08,3.39,0,0,1.69,1.69,0,0,6.78,3.39,6.78,10.17,1.69,1.69,0,1.69,0,6.78,6.78,0,0,0,0,0,0
9,public_savvy,"Although Aegis Dynamics is trying to assure us that the water is safe, there seems to be some evidence that says otherwise. The huge selling of stock by execs and the quality testing being disbanded is alarming. I don't know what to make of all this. It seems pretty sketchy even with the press conference.",47,Female,Democrat,3,0.018543124,1,6,6,5,6,4,5,4,3,5,4,4,5,6,6,6,6,6,6,4,4,5,5,3,4,4,5,4,4,2,5,5,4,5,4,3,3,4,4,4,4,4,4,4,55,50.6,21.2,16.38,20.23,13.75,20,85.45,78.18,58.18,12.73,3.64,1.82,1.82,0,0,0,9.09,16.36,7.27,0,12.73,10.91,5.45,5.45,1.82,27.27,5.45,5.45,5.45,1.82,1.82,1.82,29.09,1.82,18.18,7.27,1.82,1.82,5.45,1.82,3.64,0,3.64,1.82,1.82,1.82,0,1.82,1.82,0,0,0,7.27,3.64,0,0,0,0,1.82,1.82,0,0,0,0,0,0,0,0,7.27,0,0,5.45,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,0,7.27,3.64,1.82,0,1.82,0,0,0,0,0,12.73,0,0,0,0,0,0,10.91,7.27,1.82,0,0,1.82,0,0
10,private_savvy,"It is likely that something is going on behind the scenes and that the Mayor's office is not being fully transparent. Aegis Dynamics actions along with the abrupt disbanding of the independent water quality test is cause for some alarm. Likely, the water is still relatively safe, but that doesn't mean that something isn't wrong with the new filtration systems.",30,Male,Democrat,3,-0.0014819205,1,4,4,2,2,3,2,2,5,2,5,6,3,1,5,2,5,2,5,4,2,3,3,4,4,3,5,4,3,4,2,3,2,6,2,2,4,3,3,2,3,3,3,3,60,49.68,1.24,39.59,45.29,20,18.33,81.67,71.67,58.33,11.67,0,0,0,0,0,0,11.67,18.33,10,0,11.67,13.33,5,3.33,5,15,11.67,1.67,0,0,0,0,33.33,0,20,1.67,1.67,0,6.67,1.67,8.33,0,5,3.33,1.67,0,0,0,0,0,0,0,1.67,1.67,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,3.33,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,1.67,0,5,6.67,1.67,1.67,1.67,1.67,0,0,3.33,0,11.67,1.67,0,0,0,0,0,13.33,5,3.33,0,0,5,0,0
